CAS	phenotype	source	concentration	duration
1478-61-1	Mortality	Lein	AC50	2dpf
97-77-8	Mortality	Lein	AC50	2dpf
26040-51-7	Mortality	Lein	AC50	2dpf
56-53-1	Mortality	Lein	AC50	2dpf
50-28-2	Mortality	Lein	AC50	2dpf
83-79-4	Halted Dev.	Lein	AC50	2dpf
115-09-3	Halted Dev.	Lein	AC50	2dpf
2001-95-8	Halted Dev.	Lein	AC50	2dpf
79-94-7	Halted Dev.	Lein	AC50	2dpf
97-77-8	Halted Dev.	Lein	AC50	2dpf
2465-27-2	Craniofacial	Lein	AC50	2dpf
97-77-8	Craniofacial	Lein	AC50	2dpf
2001-95-8	Yolk E.	Lein	AC50	2dpf
70-30-4	Yolk E.	Lein	AC50	2dpf
79-94-7	Yolk E.	Lein	AC50	2dpf
50-28-2	Yolk E.	Lein	AC50	2dpf
26040-51-7	Yolk E.	Lein	AC50	2dpf
115-86-6	Yolk E.	Lein	AC50	2dpf
115-09-3	Par E.	Lein	AC50	2dpf
70-30-4	Par E.	Lein	AC50	2dpf
68937-41-7	Par E.	Lein	AC50	2dpf
860302-33-6	Par E.	Lein	AC50	2dpf
115-09-3	Axis	Lein	AC50	2dpf
56-35-9	Axis	Lein	AC50	2dpf
52918-63-5	Axis	Lein	AC50	2dpf
2001-95-8	Axis	Lein	AC50	2dpf
70-30-4	Axis	Lein	AC50	2dpf
79-94-7	Axis	Lein	AC50	2dpf
56-53-1	Axis	Lein	AC50	2dpf
2465-27-2	Axis	Lein	AC50	2dpf
1478-61-1	Axis	Lein	AC50	2dpf
50-29-3	Axis	Lein	AC50	2dpf
439-14-5	Axis	Lein	AC50	2dpf
68937-41-7	Axis	Lein	AC50	2dpf
50-28-2	Axis	Lein	AC50	2dpf
56803-37-3	Axis	Lein	AC50	2dpf
52645-53-1	Axis	Lein	AC50	2dpf
60-57-1	Axis	Lein	AC50	2dpf
115-86-6	Axis	Lein	AC50	2dpf
76-44-8	Axis	Lein	AC50	2dpf
70-30-4	Notochord	Lein	AC50	2dpf
115-09-3	C. Fin	Lein	AC50	2dpf
2001-95-8	C. Fin	Lein	AC50	2dpf
56-35-9	C. Fin	Lein	AC50	2dpf
70-30-4	C. Fin	Lein	AC50	2dpf
79-94-7	C. Fin	Lein	AC50	2dpf
97-77-8	C. Fin	Lein	AC50	2dpf
76-44-8	C. Fin	Lein	AC50	2dpf
1746-01-6	Mortality	Lein	LEL	2dpf
2001-95-8	Mortality	Lein	LEL	2dpf
115-09-3	Mortality	Lein	LEL	2dpf
56-35-9	Mortality	Lein	LEL	2dpf
83-79-4	Mortality	Lein	LEL	2dpf
55406-53-6	Mortality	Lein	LEL	2dpf
70-30-4	Mortality	Lein	LEL	2dpf
79-94-7	Mortality	Lein	LEL	2dpf
2465-27-2	Mortality	Lein	LEL	2dpf
1478-61-1	Mortality	Lein	LEL	2dpf
26040-51-7	Mortality	Lein	LEL	2dpf
50-28-2	Mortality	Lein	LEL	2dpf
56-53-1	Mortality	Lein	LEL	2dpf
97-77-8	Mortality	Lein	LEL	2dpf
83-79-4	Halted Dev.	Lein	LEL	2dpf
97-77-8	Halted Dev.	Lein	LEL	2dpf
97-77-8	Craniofacial	Lein	LEL	2dpf
2465-27-2	Craniofacial	Lein	LEL	2dpf
439-14-5	Craniofacial	Lein	LEL	2dpf
76-44-8	Craniofacial	Lein	LEL	2dpf
439-14-5	Yolk E.	Lein	LEL	2dpf
50-28-2	Yolk E.	Lein	LEL	2dpf
115-86-6	Yolk E.	Lein	LEL	2dpf
68937-41-7	Yolk E.	Lein	LEL	2dpf
115-86-6	Par E.	Lein	LEL	2dpf
68937-41-7	Par E.	Lein	LEL	2dpf
1330-78-5	Par E.	Lein	LEL	2dpf
56803-37-3	Par E.	Lein	LEL	2dpf
860302-33-6	Par E.	Lein	LEL	2dpf
1330-78-5	Red heart	Lein	LEL	2dpf
115-09-3	Axis	Lein	LEL	2dpf
52918-63-5	Axis	Lein	LEL	2dpf
97-77-8	Axis	Lein	LEL	2dpf
79-94-7	Axis	Lein	LEL	2dpf
116-06-3	Axis	Lein	LEL	2dpf
2465-27-2	Axis	Lein	LEL	2dpf
1478-61-1	Axis	Lein	LEL	2dpf
56-53-1	Axis	Lein	LEL	2dpf
50-29-3	Axis	Lein	LEL	2dpf
1330-78-5	Axis	Lein	LEL	2dpf
115-86-6	Axis	Lein	LEL	2dpf
68937-41-7	Axis	Lein	LEL	2dpf
56803-37-3	Axis	Lein	LEL	2dpf
860302-33-6	Axis	Lein	LEL	2dpf
439-14-5	Axis	Lein	LEL	2dpf
50-28-2	Axis	Lein	LEL	2dpf
76-44-8	Axis	Lein	LEL	2dpf
52645-53-1	Axis	Lein	LEL	2dpf
56-55-3	Axis	Lein	LEL	2dpf
60-57-1	Axis	Lein	LEL	2dpf
76-44-8	C. Fin	Lein	LEL	2dpf
1746-01-6	Mortality	Lein	AC50	3dpf
2001-95-8	Mortality	Lein	AC50	3dpf
83-79-4	Mortality	Lein	AC50	3dpf
115-09-3	Mortality	Lein	AC50	3dpf
56-35-9	Mortality	Lein	AC50	3dpf
55406-53-6	Mortality	Lein	AC50	3dpf
70-30-4	Mortality	Lein	AC50	3dpf
79-94-7	Mortality	Lein	AC50	3dpf
2465-27-2	Mortality	Lein	AC50	3dpf
1478-61-1	Mortality	Lein	AC50	3dpf
26040-51-7	Mortality	Lein	AC50	3dpf
97-77-8	Mortality	Lein	AC50	3dpf
56-53-1	Mortality	Lein	AC50	3dpf
50-28-2	Mortality	Lein	AC50	3dpf
83-79-4	Halted Dev.	Lein	AC50	3dpf
79-94-7	Halted Dev.	Lein	AC50	3dpf
83-79-4	Craniofacial	Lein	AC50	3dpf
97-77-8	Craniofacial	Lein	AC50	3dpf
2465-27-2	Craniofacial	Lein	AC50	3dpf
56-53-1	Craniofacial	Lein	AC50	3dpf
115-09-3	Yolk E.	Lein	AC50	3dpf
70-30-4	Yolk E.	Lein	AC50	3dpf
2001-95-8	Yolk E.	Lein	AC50	3dpf
79-94-7	Yolk E.	Lein	AC50	3dpf
2465-27-2	Yolk E.	Lein	AC50	3dpf
56-53-1	Yolk E.	Lein	AC50	3dpf
115-86-6	Yolk E.	Lein	AC50	3dpf
68937-41-7	Yolk E.	Lein	AC50	3dpf
56803-37-3	Yolk E.	Lein	AC50	3dpf
26040-51-7	Yolk E.	Lein	AC50	3dpf
860302-33-6	Yolk E.	Lein	AC50	3dpf
1330-78-5	Yolk E.	Lein	AC50	3dpf
1746-01-6	Par E.	Lein	AC50	3dpf
115-09-3	Par E.	Lein	AC50	3dpf
2001-95-8	Par E.	Lein	AC50	3dpf
70-30-4	Par E.	Lein	AC50	3dpf
79-94-7	Par E.	Lein	AC50	3dpf
2465-27-2	Par E.	Lein	AC50	3dpf
56-53-1	Par E.	Lein	AC50	3dpf
115-86-6	Par E.	Lein	AC50	3dpf
68937-41-7	Par E.	Lein	AC50	3dpf
56803-37-3	Par E.	Lein	AC50	3dpf
860302-33-6	Par E.	Lein	AC50	3dpf
1330-78-5	Par E.	Lein	AC50	3dpf
97-77-8	Par E.	Lein	AC50	3dpf
56-55-3	Par E.	Lein	AC50	3dpf
1330-78-5	Red heart	Lein	AC50	3dpf
1746-01-6	Axis	Lein	AC50	3dpf
115-09-3	Axis	Lein	AC50	3dpf
52918-63-5	Axis	Lein	AC50	3dpf
83-79-4	Axis	Lein	AC50	3dpf
70-30-4	Axis	Lein	AC50	3dpf
79-94-7	Axis	Lein	AC50	3dpf
56-53-1	Axis	Lein	AC50	3dpf
2465-27-2	Axis	Lein	AC50	3dpf
68937-41-7	Axis	Lein	AC50	3dpf
56803-37-3	Axis	Lein	AC50	3dpf
1478-61-1	Axis	Lein	AC50	3dpf
439-14-5	Axis	Lein	AC50	3dpf
50-29-3	Axis	Lein	AC50	3dpf
115-86-6	Axis	Lein	AC50	3dpf
860302-33-6	Axis	Lein	AC50	3dpf
56-55-3	Axis	Lein	AC50	3dpf
76-44-8	Axis	Lein	AC50	3dpf
2001-95-8	Notochord	Lein	AC50	3dpf
97-77-8	Notochord	Lein	AC50	3dpf
50-28-2	Notochord	Lein	AC50	3dpf
56-35-9	C. Fin	Lein	AC50	3dpf
2001-95-8	C. Fin	Lein	AC50	3dpf
115-09-3	C. Fin	Lein	AC50	3dpf
70-30-4	C. Fin	Lein	AC50	3dpf
79-94-7	C. Fin	Lein	AC50	3dpf
56803-37-3	C. Fin	Lein	AC50	3dpf
68937-41-7	C. Fin	Lein	AC50	3dpf
1746-01-6	Mortality	Lein	LEL	3dpf
2001-95-8	Mortality	Lein	LEL	3dpf
115-09-3	Mortality	Lein	LEL	3dpf
56-35-9	Mortality	Lein	LEL	3dpf
83-79-4	Mortality	Lein	LEL	3dpf
55406-53-6	Mortality	Lein	LEL	3dpf
70-30-4	Mortality	Lein	LEL	3dpf
79-94-7	Mortality	Lein	LEL	3dpf
2465-27-2	Mortality	Lein	LEL	3dpf
1478-61-1	Mortality	Lein	LEL	3dpf
26040-51-7	Mortality	Lein	LEL	3dpf
50-28-2	Mortality	Lein	LEL	3dpf
56-53-1	Mortality	Lein	LEL	3dpf
76-44-8	Mortality	Lein	LEL	3dpf
97-77-8	Mortality	Lein	LEL	3dpf
2465-27-2	Craniofacial	Lein	LEL	3dpf
56-53-1	Craniofacial	Lein	LEL	3dpf
97-77-8	Craniofacial	Lein	LEL	3dpf
439-14-5	Craniofacial	Lein	LEL	3dpf
79-94-7	Yolk E.	Lein	LEL	3dpf
2465-27-2	Yolk E.	Lein	LEL	3dpf
56-53-1	Yolk E.	Lein	LEL	3dpf
68937-41-7	Yolk E.	Lein	LEL	3dpf
439-14-5	Yolk E.	Lein	LEL	3dpf
115-86-6	Yolk E.	Lein	LEL	3dpf
1241-94-7	Yolk E.	Lein	LEL	3dpf
1330-78-5	Yolk E.	Lein	LEL	3dpf
56-55-3	Yolk E.	Lein	LEL	3dpf
56803-37-3	Yolk E.	Lein	LEL	3dpf
860302-33-6	Yolk E.	Lein	LEL	3dpf
1746-01-6	Par E.	Lein	LEL	3dpf
97-77-8	Par E.	Lein	LEL	3dpf
79-94-7	Par E.	Lein	LEL	3dpf
2465-27-2	Par E.	Lein	LEL	3dpf
56-53-1	Par E.	Lein	LEL	3dpf
68937-41-7	Par E.	Lein	LEL	3dpf
115-86-6	Par E.	Lein	LEL	3dpf
439-14-5	Par E.	Lein	LEL	3dpf
1241-94-7	Par E.	Lein	LEL	3dpf
1330-78-5	Par E.	Lein	LEL	3dpf
56-55-3	Par E.	Lein	LEL	3dpf
56803-37-3	Par E.	Lein	LEL	3dpf
860302-33-6	Par E.	Lein	LEL	3dpf
1330-78-5	Red heart	Lein	LEL	3dpf
1746-01-6	Axis	Lein	LEL	3dpf
70-30-4	Axis	Lein	LEL	3dpf
52918-63-5	Axis	Lein	LEL	3dpf
116-06-3	Axis	Lein	LEL	3dpf
52645-53-1	Axis	Lein	LEL	3dpf
2465-27-2	Axis	Lein	LEL	3dpf
56-53-1	Axis	Lein	LEL	3dpf
50-29-3	Axis	Lein	LEL	3dpf
68937-41-7	Axis	Lein	LEL	3dpf
115-86-6	Axis	Lein	LEL	3dpf
439-14-5	Axis	Lein	LEL	3dpf
56-55-3	Axis	Lein	LEL	3dpf
56803-37-3	Axis	Lein	LEL	3dpf
860302-33-6	Axis	Lein	LEL	3dpf
76-44-8	Axis	Lein	LEL	3dpf
60-57-1	Axis	Lein	LEL	3dpf
97-77-8	Notochord	Lein	LEL	3dpf
79-94-7	C. Fin	Lein	LEL	3dpf
68937-41-7	C. Fin	Lein	LEL	3dpf
56803-37-3	C. Fin	Lein	LEL	3dpf
76-44-8	C. Fin	Lein	LEL	3dpf
97-77-8	C. Fin	Lein	LEL	3dpf
1746-01-6	Mortality	Lein	AC50	4dpf
2001-95-8	Mortality	Lein	AC50	4dpf
83-79-4	Mortality	Lein	AC50	4dpf
56-35-9	Mortality	Lein	AC50	4dpf
115-09-3	Mortality	Lein	AC50	4dpf
70-30-4	Mortality	Lein	AC50	4dpf
55406-53-6	Mortality	Lein	AC50	4dpf
79-94-7	Mortality	Lein	AC50	4dpf
2465-27-2	Mortality	Lein	AC50	4dpf
56-53-1	Mortality	Lein	AC50	4dpf
26040-51-7	Mortality	Lein	AC50	4dpf
97-77-8	Mortality	Lein	AC50	4dpf
50-28-2	Mortality	Lein	AC50	4dpf
115-86-6	Mortality	Lein	AC50	4dpf
1478-61-1	Mortality	Lein	AC50	4dpf
83-79-4	Halted Dev.	Lein	AC50	4dpf
2001-95-8	Craniofacial	Lein	AC50	4dpf
83-79-4	Craniofacial	Lein	AC50	4dpf
1746-01-6	Yolk E.	Lein	AC50	4dpf
2001-95-8	Yolk E.	Lein	AC50	4dpf
115-09-3	Yolk E.	Lein	AC50	4dpf
52918-63-5	Yolk E.	Lein	AC50	4dpf
70-30-4	Yolk E.	Lein	AC50	4dpf
55406-53-6	Yolk E.	Lein	AC50	4dpf
97-77-8	Yolk E.	Lein	AC50	4dpf
83-79-4	Yolk E.	Lein	AC50	4dpf
79-94-7	Yolk E.	Lein	AC50	4dpf
68937-41-7	Yolk E.	Lein	AC50	4dpf
1330-78-5	Yolk E.	Lein	AC50	4dpf
56803-37-3	Yolk E.	Lein	AC50	4dpf
115-86-6	Yolk E.	Lein	AC50	4dpf
860302-33-6	Yolk E.	Lein	AC50	4dpf
56-53-1	Yolk E.	Lein	AC50	4dpf
56-55-3	Yolk E.	Lein	AC50	4dpf
1746-01-6	Par E.	Lein	AC50	4dpf
2001-95-8	Par E.	Lein	AC50	4dpf
52918-63-5	Par E.	Lein	AC50	4dpf
115-09-3	Par E.	Lein	AC50	4dpf
70-30-4	Par E.	Lein	AC50	4dpf
97-77-8	Par E.	Lein	AC50	4dpf
55406-53-6	Par E.	Lein	AC50	4dpf
79-94-7	Par E.	Lein	AC50	4dpf
68937-41-7	Par E.	Lein	AC50	4dpf
56-53-1	Par E.	Lein	AC50	4dpf
1330-78-5	Par E.	Lein	AC50	4dpf
860302-33-6	Par E.	Lein	AC50	4dpf
2465-27-2	Par E.	Lein	AC50	4dpf
115-86-6	Par E.	Lein	AC50	4dpf
1241-94-7	Par E.	Lein	AC50	4dpf
56-55-3	Par E.	Lein	AC50	4dpf
56803-37-3	Par E.	Lein	AC50	4dpf
439-14-5	Par E.	Lein	AC50	4dpf
1330-78-5	Red heart	Lein	AC50	4dpf
1241-94-7	Red heart	Lein	AC50	4dpf
1746-01-6	Axis	Lein	AC50	4dpf
52918-63-5	Axis	Lein	AC50	4dpf
115-09-3	Axis	Lein	AC50	4dpf
2001-95-8	Axis	Lein	AC50	4dpf
56-35-9	Axis	Lein	AC50	4dpf
70-30-4	Axis	Lein	AC50	4dpf
79-94-7	Axis	Lein	AC50	4dpf
56-53-1	Axis	Lein	AC50	4dpf
50-29-3	Axis	Lein	AC50	4dpf
52645-53-1	Axis	Lein	AC50	4dpf
115-86-6	Axis	Lein	AC50	4dpf
439-14-5	Axis	Lein	AC50	4dpf
1241-94-7	Axis	Lein	AC50	4dpf
56803-37-3	Axis	Lein	AC50	4dpf
68937-41-7	Axis	Lein	AC50	4dpf
76-44-8	Axis	Lein	AC50	4dpf
860302-33-6	Axis	Lein	AC50	4dpf
1330-78-5	Axis	Lein	AC50	4dpf
2001-95-8	Notochord	Lein	AC50	4dpf
97-77-8	Notochord	Lein	AC50	4dpf
1746-01-6	C. Fin	Lein	AC50	4dpf
115-09-3	C. Fin	Lein	AC50	4dpf
56-35-9	C. Fin	Lein	AC50	4dpf
2001-95-8	C. Fin	Lein	AC50	4dpf
70-30-4	C. Fin	Lein	AC50	4dpf
79-94-7	C. Fin	Lein	AC50	4dpf
56-53-1	C. Fin	Lein	AC50	4dpf
50-28-2	C. Fin	Lein	AC50	4dpf
56-55-3	C. Fin	Lein	AC50	4dpf
2001-95-8	Pectoral Fin	Lein	AC50	4dpf
115-09-3	Pectoral Fin	Lein	AC50	4dpf
1746-01-6	Mortality	Lein	LEL	4dpf
2001-95-8	Mortality	Lein	LEL	4dpf
115-09-3	Mortality	Lein	LEL	4dpf
56-35-9	Mortality	Lein	LEL	4dpf
83-79-4	Mortality	Lein	LEL	4dpf
55406-53-6	Mortality	Lein	LEL	4dpf
70-30-4	Mortality	Lein	LEL	4dpf
79-94-7	Mortality	Lein	LEL	4dpf
2465-27-2	Mortality	Lein	LEL	4dpf
115-86-6	Mortality	Lein	LEL	4dpf
1478-61-1	Mortality	Lein	LEL	4dpf
26040-51-7	Mortality	Lein	LEL	4dpf
50-28-2	Mortality	Lein	LEL	4dpf
56-53-1	Mortality	Lein	LEL	4dpf
76-44-8	Mortality	Lein	LEL	4dpf
97-77-8	Mortality	Lein	LEL	4dpf
56-55-3	Craniofacial	Lein	LEL	4dpf
1746-01-6	Yolk E.	Lein	LEL	4dpf
97-77-8	Yolk E.	Lein	LEL	4dpf
52918-63-5	Yolk E.	Lein	LEL	4dpf
79-94-7	Yolk E.	Lein	LEL	4dpf
68937-41-7	Yolk E.	Lein	LEL	4dpf
56-55-3	Yolk E.	Lein	LEL	4dpf
115-86-6	Yolk E.	Lein	LEL	4dpf
1241-94-7	Yolk E.	Lein	LEL	4dpf
1330-78-5	Yolk E.	Lein	LEL	4dpf
439-14-5	Yolk E.	Lein	LEL	4dpf
56803-37-3	Yolk E.	Lein	LEL	4dpf
860302-33-6	Yolk E.	Lein	LEL	4dpf
1746-01-6	Par E.	Lein	LEL	4dpf
52918-63-5	Par E.	Lein	LEL	4dpf
97-77-8	Par E.	Lein	LEL	4dpf
70-30-4	Par E.	Lein	LEL	4dpf
68937-41-7	Par E.	Lein	LEL	4dpf
56-53-1	Par E.	Lein	LEL	4dpf
56-55-3	Par E.	Lein	LEL	4dpf
115-86-6	Par E.	Lein	LEL	4dpf
1241-94-7	Par E.	Lein	LEL	4dpf
1330-78-5	Par E.	Lein	LEL	4dpf
439-14-5	Par E.	Lein	LEL	4dpf
56803-37-3	Par E.	Lein	LEL	4dpf
860302-33-6	Par E.	Lein	LEL	4dpf
1241-94-7	Red heart	Lein	LEL	4dpf
1330-78-5	Red heart	Lein	LEL	4dpf
1746-01-6	Axis	Lein	LEL	4dpf
52918-63-5	Axis	Lein	LEL	4dpf
115-09-3	Axis	Lein	LEL	4dpf
70-30-4	Axis	Lein	LEL	4dpf
52645-53-1	Axis	Lein	LEL	4dpf
56-53-1	Axis	Lein	LEL	4dpf
1478-61-1	Axis	Lein	LEL	4dpf
50-29-3	Axis	Lein	LEL	4dpf
1241-94-7	Axis	Lein	LEL	4dpf
1330-78-5	Axis	Lein	LEL	4dpf
68937-41-7	Axis	Lein	LEL	4dpf
56-55-3	Axis	Lein	LEL	4dpf
115-86-6	Axis	Lein	LEL	4dpf
439-14-5	Axis	Lein	LEL	4dpf
56803-37-3	Axis	Lein	LEL	4dpf
860302-33-6	Axis	Lein	LEL	4dpf
76-44-8	Axis	Lein	LEL	4dpf
133-06-2	Axis	Lein	LEL	4dpf
97-77-8	Notochord	Lein	LEL	4dpf
116-06-3	Notochord	Lein	LEL	4dpf
97-77-8	C. Fin	Lein	LEL	4dpf
79-94-7	C. Fin	Lein	LEL	4dpf
56-55-3	C. Fin	Lein	LEL	4dpf
2001-95-8	Pectoral Fin	Lein	LEL	4dpf
1746-01-6	Mortality	Lein	AC50	5dpf
2001-95-8	Mortality	Lein	AC50	5dpf
83-79-4	Mortality	Lein	AC50	5dpf
115-09-3	Mortality	Lein	AC50	5dpf
56-35-9	Mortality	Lein	AC50	5dpf
70-30-4	Mortality	Lein	AC50	5dpf
55406-53-6	Mortality	Lein	AC50	5dpf
79-94-7	Mortality	Lein	AC50	5dpf
2465-27-2	Mortality	Lein	AC50	5dpf
56-53-1	Mortality	Lein	AC50	5dpf
1478-61-1	Mortality	Lein	AC50	5dpf
97-77-8	Mortality	Lein	AC50	5dpf
50-28-2	Mortality	Lein	AC50	5dpf
26040-51-7	Mortality	Lein	AC50	5dpf
68937-41-7	Mortality	Lein	AC50	5dpf
56-55-3	Mortality	Lein	AC50	5dpf
56803-37-3	Mortality	Lein	AC50	5dpf
115-86-6	Mortality	Lein	AC50	5dpf
76-44-8	Mortality	Lein	AC50	5dpf
83-79-4	Halted Dev.	Lein	AC50	5dpf
83-79-4	Craniofacial	Lein	AC50	5dpf
1746-01-6	Yolk E.	Lein	AC50	5dpf
2001-95-8	Yolk E.	Lein	AC50	5dpf
115-09-3	Yolk E.	Lein	AC50	5dpf
56-35-9	Yolk E.	Lein	AC50	5dpf
70-30-4	Yolk E.	Lein	AC50	5dpf
97-77-8	Yolk E.	Lein	AC50	5dpf
83-79-4	Yolk E.	Lein	AC50	5dpf
55406-53-6	Yolk E.	Lein	AC50	5dpf
79-94-7	Yolk E.	Lein	AC50	5dpf
56-53-1	Yolk E.	Lein	AC50	5dpf
68937-41-7	Yolk E.	Lein	AC50	5dpf
1478-61-1	Yolk E.	Lein	AC50	5dpf
1330-78-5	Yolk E.	Lein	AC50	5dpf
56-55-3	Yolk E.	Lein	AC50	5dpf
860302-33-6	Yolk E.	Lein	AC50	5dpf
115-86-6	Yolk E.	Lein	AC50	5dpf
56803-37-3	Yolk E.	Lein	AC50	5dpf
1241-94-7	Yolk E.	Lein	AC50	5dpf
439-14-5	Yolk E.	Lein	AC50	5dpf
1746-01-6	Par E.	Lein	AC50	5dpf
2001-95-8	Par E.	Lein	AC50	5dpf
115-09-3	Par E.	Lein	AC50	5dpf
70-30-4	Par E.	Lein	AC50	5dpf
97-77-8	Par E.	Lein	AC50	5dpf
79-94-7	Par E.	Lein	AC50	5dpf
55406-53-6	Par E.	Lein	AC50	5dpf
68937-41-7	Par E.	Lein	AC50	5dpf
1478-61-1	Par E.	Lein	AC50	5dpf
1330-78-5	Par E.	Lein	AC50	5dpf
56-53-1	Par E.	Lein	AC50	5dpf
56-55-3	Par E.	Lein	AC50	5dpf
2465-27-2	Par E.	Lein	AC50	5dpf
115-86-6	Par E.	Lein	AC50	5dpf
860302-33-6	Par E.	Lein	AC50	5dpf
1241-94-7	Par E.	Lein	AC50	5dpf
439-14-5	Par E.	Lein	AC50	5dpf
56803-37-3	Par E.	Lein	AC50	5dpf
1478-61-1	Red heart	Lein	AC50	5dpf
1746-01-6	Axis	Lein	AC50	5dpf
115-09-3	Axis	Lein	AC50	5dpf
2001-95-8	Axis	Lein	AC50	5dpf
52918-63-5	Axis	Lein	AC50	5dpf
70-30-4	Axis	Lein	AC50	5dpf
56-53-1	Axis	Lein	AC50	5dpf
1478-61-1	Axis	Lein	AC50	5dpf
50-29-3	Axis	Lein	AC50	5dpf
68937-41-7	Axis	Lein	AC50	5dpf
52645-53-1	Axis	Lein	AC50	5dpf
56803-37-3	Axis	Lein	AC50	5dpf
115-86-6	Axis	Lein	AC50	5dpf
860302-33-6	Axis	Lein	AC50	5dpf
439-14-5	Axis	Lein	AC50	5dpf
1330-78-5	Axis	Lein	AC50	5dpf
5436-43-1	Axis	Lein	AC50	5dpf
76-44-8	Axis	Lein	AC50	5dpf
1241-94-7	Axis	Lein	AC50	5dpf
56-55-3	Axis	Lein	AC50	5dpf
2001-95-8	Notochord	Lein	AC50	5dpf
115-09-3	Notochord	Lein	AC50	5dpf
97-77-8	Notochord	Lein	AC50	5dpf
50-28-2	Notochord	Lein	AC50	5dpf
2001-95-8	C. Fin	Lein	AC50	5dpf
115-09-3	C. Fin	Lein	AC50	5dpf
70-30-4	C. Fin	Lein	AC50	5dpf
79-94-7	C. Fin	Lein	AC50	5dpf
50-28-2	C. Fin	Lein	AC50	5dpf
1478-61-1	C. Fin	Lein	AC50	5dpf
56-55-3	C. Fin	Lein	AC50	5dpf
1746-01-6	Mortality	Lein	LEL	5dpf
2001-95-8	Mortality	Lein	LEL	5dpf
115-09-3	Mortality	Lein	LEL	5dpf
56-35-9	Mortality	Lein	LEL	5dpf
83-79-4	Mortality	Lein	LEL	5dpf
52918-63-5	Mortality	Lein	LEL	5dpf
55406-53-6	Mortality	Lein	LEL	5dpf
70-30-4	Mortality	Lein	LEL	5dpf
79-94-7	Mortality	Lein	LEL	5dpf
2465-27-2	Mortality	Lein	LEL	5dpf
115-86-6	Mortality	Lein	LEL	5dpf
1478-61-1	Mortality	Lein	LEL	5dpf
26040-51-7	Mortality	Lein	LEL	5dpf
50-28-2	Mortality	Lein	LEL	5dpf
56-53-1	Mortality	Lein	LEL	5dpf
56-55-3	Mortality	Lein	LEL	5dpf
56803-37-3	Mortality	Lein	LEL	5dpf
60-57-1	Mortality	Lein	LEL	5dpf
68937-41-7	Mortality	Lein	LEL	5dpf
76-44-8	Mortality	Lein	LEL	5dpf
97-77-8	Mortality	Lein	LEL	5dpf
1746-01-6	Yolk E.	Lein	LEL	5dpf
115-09-3	Yolk E.	Lein	LEL	5dpf
52918-63-5	Yolk E.	Lein	LEL	5dpf
97-77-8	Yolk E.	Lein	LEL	5dpf
1478-61-1	Yolk E.	Lein	LEL	5dpf
56-53-1	Yolk E.	Lein	LEL	5dpf
68937-41-7	Yolk E.	Lein	LEL	5dpf
115-86-6	Yolk E.	Lein	LEL	5dpf
56-55-3	Yolk E.	Lein	LEL	5dpf
56803-37-3	Yolk E.	Lein	LEL	5dpf
76-44-8	Yolk E.	Lein	LEL	5dpf
1241-94-7	Yolk E.	Lein	LEL	5dpf
1330-78-5	Yolk E.	Lein	LEL	5dpf
439-14-5	Yolk E.	Lein	LEL	5dpf
50-29-3	Yolk E.	Lein	LEL	5dpf
860302-33-6	Yolk E.	Lein	LEL	5dpf
1746-01-6	Par E.	Lein	LEL	5dpf
115-09-3	Par E.	Lein	LEL	5dpf
52918-63-5	Par E.	Lein	LEL	5dpf
97-77-8	Par E.	Lein	LEL	5dpf
1478-61-1	Par E.	Lein	LEL	5dpf
68937-41-7	Par E.	Lein	LEL	5dpf
115-86-6	Par E.	Lein	LEL	5dpf
56-55-3	Par E.	Lein	LEL	5dpf
56803-37-3	Par E.	Lein	LEL	5dpf
76-44-8	Par E.	Lein	LEL	5dpf
1241-94-7	Par E.	Lein	LEL	5dpf
1330-78-5	Par E.	Lein	LEL	5dpf
439-14-5	Par E.	Lein	LEL	5dpf
50-29-3	Par E.	Lein	LEL	5dpf
860302-33-6	Par E.	Lein	LEL	5dpf
115-09-3	Axis	Lein	LEL	5dpf
52918-63-5	Axis	Lein	LEL	5dpf
1478-61-1	Axis	Lein	LEL	5dpf
50-29-3	Axis	Lein	LEL	5dpf
56-53-1	Axis	Lein	LEL	5dpf
60-57-1	Axis	Lein	LEL	5dpf
52645-53-1	Axis	Lein	LEL	5dpf
5436-43-1	Axis	Lein	LEL	5dpf
68937-41-7	Axis	Lein	LEL	5dpf
115-86-6	Axis	Lein	LEL	5dpf
56803-37-3	Axis	Lein	LEL	5dpf
76-44-8	Axis	Lein	LEL	5dpf
1241-94-7	Axis	Lein	LEL	5dpf
1330-78-5	Axis	Lein	LEL	5dpf
439-14-5	Axis	Lein	LEL	5dpf
860302-33-6	Axis	Lein	LEL	5dpf
97-77-8	Notochord	Lein	LEL	5dpf
116-06-3	Notochord	Lein	LEL	5dpf
79-94-7	C. Fin	Lein	LEL	5dpf
56-55-3	C. Fin	Lein	LEL	5dpf
83-79-4	MORT	Tanguay	AC50	5dpf
1746-01-6	MORT	Tanguay	AC50	5dpf
70-30-4	MORT	Tanguay	AC50	5dpf
55406-53-6	MORT	Tanguay	AC50	5dpf
79-94-7	MORT	Tanguay	AC50	5dpf
56-53-1	MORT	Tanguay	AC50	5dpf
2465-27-2	MORT	Tanguay	AC50	5dpf
50-28-2	MORT	Tanguay	AC50	5dpf
1478-61-1	MORT	Tanguay	AC50	5dpf
115-86-6	MORT	Tanguay	AC50	5dpf
439-14-5	MORT	Tanguay	AC50	5dpf
